event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,118140,125037,"shallow",0,139315,140085,"lessthan2",0,118140,140085,"intro",
1,125631,132561,"medium",1,160380,160820,"lessthan2",1,144485,214665,"fam1",
2,133188,140085,"deep",2,167145,168850,"lessthan2",2,218405,288420,"fam2",
3,144485,153780,"shallow_yes",3,171435,171985,"lessthan2",3,292270,344630,"fam3",
4,154385,162030,"medium_no",4,178695,180125,"lessthan2",4,349745,363880,"fam4",
5,162635,171985,"medium_yes",5,189365,190135,"lessthan2",5,367895,402160,"fam5",
6,172645,180180,"deep_no",6,196735,197890,"lessthan2",6,407385,459195,"fam6",
7,180840,190135,"shallow_yes",7,207405,208340,"lessthan2",,,,,
8,190740,198330,"medium_no",8,232210,233695,"lessthan2",,,,,
9,198990,208340,"medium_yes",9,241450,242440,"lessthan2",,,,,
10,208945,214665,"*deep_no",10,249040,250580,"lessthan2",,,,,
11,218405,225995,"deep_no",11,251570,252120,"lessthan2",,,,,
12,226600,235895,"medium_yes",12,265650,267190,"lessthan2",,,,,
13,236500,244145,"medium_no",13,268070,269225,"lessthan2",,,,,
14,244750,254100,"shallow_yes",14,277585,278245,"lessthan2",,,,,
15,254705,262295,"deep_no",15,285670,288420,"morethan2",,,,,
16,262900,272250,"medium_yes",16,296450,297220,"lessthan2",,,,,
17,272855,280500,"medium_no",17,315645,317185,"lessthan2",,,,,
18,281105,288420,"shallow_yes",18,331980,332530,"lessthan2",,,,,
19,292270,301565,"shallow_yes",19,333685,335280,"lessthan2",,,,,
20,302170,309815,"medium_no",20,342540,344630,"morethan2",,,,,
21,310475,319770,"medium_yes",21,354750,355300,"lessthan2",,,,,
22,320375,327965,"deep_no",22,356620,357390,"lessthan2",,,,,
23,328625,337920,"shallow_yes",23,361075,363880,"morethan2",,,,,
24,338580,344630,"medium_no",24,372130,373780,"lessthan2",,,,,
25,349745,357390,"deep_no",25,380160,382030,"lessthan2",,,,,
26,357995,363880,"*medium_yes",26,383405,384285,"lessthan2",,,,,
27,367895,377190,"shallow_yes",27,389730,391490,"lessthan2",,,,,
28,377850,385495,"medium_no",28,393250,394625,"lessthan2",,,,,
29,386100,395395,"medium_yes",29,398035,398805,"lessthan2",,,,,
30,396000,402160,"deep_no",30,399850,402160,"morethan2",,,,,
31,407385,414975,"deep_no",31,410740,411620,"lessthan2",,,,,
32,415635,424930,"medium_yes",32,414040,414975,"lessthan2",,,,,
33,425480,433125,"medium_no",33,417010,418055,"lessthan2",,,,,
34,433785,443080,"shallow_yes",34,419925,421575,"lessthan2",,,,,
35,443740,451275,"deep_no",35,423500,424930,"lessthan2",,,,,
36,451935,459195,"medium_yes",36,428505,428945,"lessthan2",,,,,
,,,,37,430595,431915,"lessthan2",,,,,
,,,,38,432575,433125,"lessthan2",,,,,
,,,,39,439890,440770,"lessthan2",,,,,
,,,,40,455675,459195,"morethan2",,,,,
