event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,166848,173745,"shallow",0,170500,173745,"morethan2",0,166848,187671,"intro",
1,174372,181335,"medium",1,176715,178475,"lessthan2",1,190971,232320,"fam1",
2,181962,187671,"deep",2,180510,181335,"lessthan2",2,237171,300685,"fam2",
3,190971,200310,"shallow_yes",3,184195,185845,"lessthan2",3,304425,389125,"fam3",
4,200904,208560,"medium_no",4,224180,224785,"lessthan2",4,392700,404965,"fam4",
5,209187,218460,"medium_yes",5,225170,226710,"lessthan2",5,409068,416328,"fam5",
6,219054,226710,"deep_no",6,230175,232320,"2ormore",6,420189,434720,"fam6",
7,227315,232320,"*shallow_yes",7,268400,269995,"lessthan2",,,,,
8,237171,244761,"deep_no",8,286275,287595,"lessthan2",,,,,
9,245388,254760,"medium_yes",9,309045,310200,"lessthan2",,,,,
10,255354,262944,"medium_no",10,318835,320595,"lessthan2",,,,,
11,263538,272844,"shallow_yes",11,321805,321915,"lessthan2",,,,,
12,273471,281094,"deep_no",12,322520,322905,"lessthan2",,,,,
13,281721,291027,"medium_yes",13,328900,330440,"lessthan2",,,,,
14,291621,299277,"medium_no",14,337645,339130,"lessthan2",,,,,
15,299915,300685,"*shallow_yes",15,345345,346170,"lessthan2",,,,,
16,304425,313698,"shallow_yes",16,402215,404965,"morethan2",,,,,
17,314292,321915,"medium_no",17,413875,416328,"morethan2",,,,,
18,322520,331881,"medium_yes",18,424710,425480,"lessthan2",,,,,
19,332442,340131,"deep_no",19,426745,427790,"lessthan2",,,,,
20,340725,349998,"shallow_yes",20,428450,428615,"lessthan2",,,,,
21,350625,358248,"medium_no",21,431420,434720,"morethan2",,,,,
22,358842,368214,"medium_yes",,,,,,,,,
23,368808,376431,"deep_no",,,,,,,,,
24,377058,386397,"shallow_yes",,,,,,,,,
25,392700,400356,"deep_no",,,,,,,,,
26,400950,404965,"*medium_yes",,,,,,,,,
27,409068,416328,"shallow_yes",,,,,,,,,
28,420189,427790,"deep_no",,,,,,,,,
29,428450,434720,"*medium_yes",,,,,,,,,
