"","videoclip","trial","subjID","duration.on"
"1","shallow_yes","fam1","S4_1",18.645
"2","medium_no","fam1","S4_1",15.345
"3","medium_yes","fam1","S4_1",17.6
"4","deep_no","fam1","S4_1",7.7
"5","deep_no","fam2","S4_1",15.235
"6","medium_yes","fam2","S4_1",18.7
"7","medium_no","fam2","S4_1",14.575
"8","shallow_yes","fam2","S4_1",9.35
"9","shallow_yes","fam3","S4_1",17.82
"10","medium_no","fam3","S4_1",11.99
"11","medium_yes","fam3","S4_1",9.295
"12","deep_no","fam3","S4_1",7.59
"13","deep_no","fam4","S4_1",7.59
"14","medium_yes","fam4","S4_1",3.685
"15","shallow_yes","fam5","S4_1",9.405
"16","deep_no","fam6","S4_1",3.135
"17","shallow_yes","fam1","S4_11",18.579
"18","medium_no","fam1","S4_11",15.29
"19","medium_yes","fam1","S4_11",17.875
"20","deep_no","fam1","S4_11",7.59
"21","deep_no","fam2","S4_11",15.18
"22","medium_yes","fam2","S4_11",18.645
"23","medium_no","fam2","S4_11",13.64
"24","shallow_yes","fam2","S4_11",9.24
"25","shallow_yes","fam3","S4_11",16.797
"26","medium_no","fam3","S4_11",15.29
"27","medium_yes","fam3","S4_11",18.26
"28","deep_no","fam3","S4_11",7.59
"29","deep_no","fam4","S4_11",15.125
"30","medium_yes","fam4","S4_11",18.755
"31","medium_no","fam4","S4_11",14.685
"32","shallow_yes","fam4","S4_11",9.295
"33","shallow_yes","fam5","S4_11",9.35
"34","medium_no","fam5","S4_11",6.05
"35","medium_yes","fam5","S4_11",9.295
"36","deep_no","fam5","S4_11",4.785
"37","deep_no","fam6","S4_11",5.83
"38","medium_yes","fam6","S4_11",9.295
"39","medium_no","fam6","S4_11",3.52
"40","deep_no","fam1","S4_12",7.656
"41","medium_yes","fam1","S4_12",9.35
"42","medium_no","fam1","S4_12",7.04
"43","shallow_yes","fam2","S4_12",18.634
"44","medium_no","fam2","S4_12",15.235
"45","medium_yes","fam2","S4_12",16.17
"46","deep_no","fam2","S4_12",7.59
"47","deep_no","fam3","S4_12",12.87
"48","medium_yes","fam3","S4_12",16.72
"49","medium_no","fam3","S4_12",14.08
"50","shallow_yes","fam3","S4_12",9.295
"51","shallow_yes","fam4","S4_12",4.51
"52","deep_no","fam5","S4_12",7.205
"53","medium_yes","fam5","S4_12",8.745
"54","medium_no","fam5","S4_12",7.59
"55","shallow_yes","fam5","S4_12",5.17
"56","shallow_yes","fam6","S4_12",8.69
"57","medium_no","fam6","S4_12",7.645
"58","medium_yes","fam6","S4_12",6.27
"59","shallow_yes","fam1","S4_13",18.535
"60","medium_no","fam1","S4_13",15.29
"61","medium_yes","fam1","S4_13",17.38
"62","deep_no","fam1","S4_13",7.645
"63","deep_no","fam2","S4_13",13.09
"64","medium_yes","fam2","S4_13",18.645
"65","medium_no","fam2","S4_13",15.29
"66","shallow_yes","fam2","S4_13",8.91
"67","shallow_yes","fam3","S4_13",9.35
"68","medium_no","fam3","S4_13",7.59
"69","medium_yes","fam3","S4_13",5.115
"70","deep_no","fam4","S4_13",7.645
"71","medium_yes","fam4","S4_13",4.895
"72","shallow_yes","fam5","S4_13",18.535
"73","medium_no","fam5","S4_13",15.18
"74","medium_yes","fam5","S4_13",15.95
"75","deep_no","fam5","S4_13",7.59
"76","deep_no","fam6","S4_13",14.245
"77","medium_yes","fam6","S4_13",18.59
"78","medium_no","fam6","S4_13",15.235
"79","shallow_yes","fam6","S4_13",7.7
"80","shallow_yes","fam1","S4_16",18.612
"81","medium_no","fam1","S4_16",15.246
"82","medium_yes","fam1","S4_16",17.721
"83","deep_no","fam1","S4_16",7.656
"84","deep_no","fam2","S4_16",12.738
"85","medium_yes","fam2","S4_16",17.193
"86","medium_no","fam2","S4_16",15.312
"87","shallow_yes","fam2","S4_16",9.339
"88","shallow_yes","fam3","S4_16",12.705
"89","medium_no","fam3","S4_16",7.623
"90","medium_yes","fam3","S4_16",9.372
