event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,135894,142758,"shallow",0,254210,254980,"lessthan2",0,135894,157806,"intro",
1,143319,150282,"medium",1,255640,255750,"lessthan2",1,162426,225500,"fam1",
2,150909,157806,"deep",2,337326,338250,"lessthan2",2,229240,291335,"fam2",
3,162426,171710,"shallow_yes",3,443575,445115,"lessthan2",3,295735,359095,"fam3",
4,172315,179960,"medium_no",4,460790,463650,"morethan2",4,362725,424270,"fam4",
5,180620,189915,"medium_yes",5,471350,473110,"lessthan2",5,427900,463650,"fam5",
6,190520,198110,"deep_no",6,489500,492690,"morethan2",6,467830,492690,"fam6",
7,198770,208065,"shallow_yes",,,,,,,,,
8,208670,216315,"medium_no",,,,,,,,,
9,216920,225500,"medium_yes",,,,,,,,,
10,229240,236830,"deep_no",,,,,,,,,
11,237435,246785,"medium_yes",,,,,,,,,
12,247390,254980,"medium_no",,,,,,,,,
13,255640,264990,"shallow_yes",,,,,,,,,
14,265595,273185,"deep_no",,,,,,,,,
15,273790,283085,"medium_yes",,,,,,,,,
16,283745,291335,"medium_no",,,,,,,,,
17,295735,305030,"shallow_yes",,,,,,,,,
18,305580,313225,"medium_no",,,,,,,,,
19,313830,323180,"medium_yes",,,,,,,,,
20,323785,331375,"deep_no",,,,,,,,,
21,331980,341330,"shallow_yes",,,,,,,,,
22,341935,349580,"medium_no",,,,,,,,,
23,350185,359095,"medium_yes",,,,,,,,,
24,362725,370315,"deep_no",,,,,,,,,
25,370920,380270,"medium_yes",,,,,,,,,
26,380875,388465,"medium_no",,,,,,,,,
27,389125,398420,"shallow yes",,,,,,,,,
28,399080,406615,"deep_no",,,,,,,,,
29,407220,416625,"medium_yes",,,,,,,,,
30,417175,424270,"medium_no",,,,,,,,,
31,427900,437250,"shallow_yes",,,,,,,,,
32,437855,445445,"medium_no",,,,,,,,,
33,446105,455400,"medium_yes",,,,,,,,,
34,456005,463650,"deep_no",,,,,,,,,
35,467830,475420,"deep_no",,,,,,,,,
36,476025,485320,"medium_yes",,,,,,,,,
37,485980,492690,"medium no",,,,,,,,,
