"","subj","experiment.x","action","yesno","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","exp","agegroup","looking.to.unexp","LTdiff","age","category","monthsPerformed","yesnoAtStudy"
"1","1","MR10","reaches","yes",10.06666667,13.5,0.47197043,0.52802957,53.63,60,"MR","10",0.52802957,6.37,2.5,"objectdirected",7.56666667,"1"
"2","2","MR13","reaches","yes",12.93333333,17.5,0.4658405,0.5341595,52.326,60,"MR","13",0.5341595,7.674,3.15,"objectdirected",9.78333333,"1"
"3","3","MR10","reaches","yes",10.06666667,13.2,0.814995563,0.185004437,31.229,7.089,"MR","10",0.185004437,-24.14,NA,"objectdirected",NA,NA
"4","4","MR13","reaches","yes",12.7,13.8,0.46488482,0.53511518,10.7665,12.393,"MR","13",0.53511518,1.6265,5,"objectdirected",7.7,"1"
"5","5","MR13","reaches","yes",13.5,15.3,0.523095624,0.476904376,21.947,20.009,"MR","13",0.476904376,-1.938,5,"objectdirected",8.5,"1"
"6","6","MR13","reaches","yes",13.1,14.5,0.487272727,0.512727273,22.78,23.97,"MR","13",0.512727273,1.19,NA,"objectdirected",NA,NA
"7","7","MR13","reaches","yes",12.7,14.5,0.494,0.506,16.796,17.204,"MR","13",0.506,0.408000000000001,4,"objectdirected",8.7,"1"
"8","8","MR13","reaches","yes",12.96666667,15,0.315642661,0.684357339,18.071,39.18045,"MR","13",0.684357339,21.10945,NA,"objectdirected",NA,NA
"9","10","MR13","reaches","yes",13.1,14.8,0.441306267,0.558693733,8.5,10.761,"MR","13",0.558693733,2.261,8,"objectdirected",5.1,"1"
"10","13","MR10","reaches","yes",10.06666667,14,0.429761905,0.570238095,12.274,16.286,"MR","10",0.570238095,4.012,6,"objectdirected",4.06666667,"1"
"11","14","MR13","reaches","yes",12.83333333,14,0.5,0.5,60,60,"MR","13",0.5,0,1,"objectdirected",11.83333333,"1"
"12","15","MR10","reaches","yes",9.8,12.2,0.157411669,0.842588331,5.814,31.121,"MR","10",0.842588331,25.307,4,"objectdirected",5.8,"1"
"13","18","MR10","reaches","yes",9.666666667,10.7,0.370714286,0.629285714,8.823,14.977,"MR","10",0.629285714,6.154,4,"objectdirected",5.666666667,"1"
"14","19","MR10","reaches","yes",10.3,12.6,0.5,0.5,60,60,"MR","10",0.5,0,4,"objectdirected",6.3,"1"
"15","21","MR10","reaches","yes",9.466666667,10.6,0.481642994,0.518357006,46.388,49.924,"MR","10",0.518357006,3.536,3.5,"objectdirected",5.966666667,"1"
"16","22","MR10","reaches","yes",9.466666667,9.5,0.510416667,0.489583333,6.664,6.392,"MR","10",0.489583333,-0.271999999999999,6,"objectdirected",3.466666667,"1"
"17","23","MR13","reaches","yes",12.73333333,12.7,0.381055489,0.618944511,24.99,40.591,"MR","13",0.618944511,15.601,5,"objectdirected",7.73333333,"1"
"18","25","MR13","reaches","yes",12.56666667,12.6,0.603160667,0.396839333,11.679,7.684,"MR","13",0.396839333,-3.995,4,"objectdirected",8.56666667,"1"
"19","26","MR13","reaches","yes",12.56666667,12.6,0.449341439,0.550658561,15.079,18.479,"MR","13",0.550658561,3.4,6,"objectdirected",6.56666667,"1"
"20","27","MR13","reaches","yes",13,13,0.476331361,0.523668639,10.948,12.036,"MR","13",0.523668639,1.088,1,"objectdirected",12,"1"
"21","28","MR10","reaches","yes",10.26666667,12.7,0.352201258,0.647798742,7.616,14.008,"MR","10",0.647798742,6.392,8,"objectdirected",2.26666667,"1"
"22","29","MR10","reaches","yes",9.8,9.8,0.407671722,0.592328278,7.769,11.288,"MR","10",0.592328278,3.519,2,"objectdirected",7.8,"1"
"23","30","MR10","reaches","yes",9.566666667,10.5,0.308854385,0.691145615,12.512,27.999,"MR","10",0.691145615,15.487,3.5,"objectdirected",6.066666667,"1"
"24","31","MR13","reaches","yes",13,13,0.309934563,0.690065437,8.857,19.72,"MR","13",0.690065437,10.863,6,"objectdirected",7,"1"
"25","32","MR13","reaches","yes",13.4,13.4,0.642971795,0.357028205,47.668,26.469,"MR","13",0.357028205,-21.199,5,"objectdirected",8.4,"1"
"26","33","MR10","reaches","yes",9.966666667,10,0.253170335,0.746829665,17.748,52.355,"MR","10",0.746829665,34.607,4.15,"objectdirected",5.816666667,"1"
"27","34","MR10","reaches","yes",9.7,9.7,0.548733691,0.451266309,12.155,9.996,"MR","10",0.451266309,-2.159,4,"objectdirected",5.7,"1"
"28","35","MR10","reaches","yes",10.06666667,10.1,0.522017045,0.477982955,12.495,11.441,"MR","10",0.477982955,-1.054,4,"objectdirected",6.06666667,"1"
"29","36","MR10","reaches","yes",8.966666667,9.6,0.207333333,0.792666667,10.574,40.426,"MR","10",0.792666667,29.852,6,"objectdirected",2.966666667,"1"
"30","37","MR13","reaches","yes",12.86666667,12.9,0.241610738,0.758389262,7.344,23.052,"MR","13",0.758389262,15.708,3,"objectdirected",9.86666667,"1"
"31","38","MR13","reaches","yes",12.66666667,14.5,0.420596728,0.579403272,14.858,20.468,"MR","13",0.579403272,5.61,2.5,"objectdirected",10.16666667,"1"
"32","39","MR10","reaches","yes",9.933333333,9.9,0.466238693,0.533761307,39.945,45.73,"MR","10",0.533761307,5.785,4,"objectdirected",5.933333333,"1"
"33","40","MR10","reaches","yes",9.866666667,9.9,0.557995495,0.442004505,16.847,13.345,"MR","10",0.442004505,-3.502,9,"objectdirected",0.866666667000001,"1"
"34","41","MR10","reaches","yes",9.833333333,9.8,0.567712171,0.432287829,35.44,26.986,"MR","10",0.432287829,-8.454,6,"objectdirected",3.833333333,"1"
"35","42","MR13","reaches","yes",12.66666667,12.7,0.552287582,0.447712418,25.857,20.961,"MR","13",0.447712418,-4.896,5,"objectdirected",7.66666667,"1"
"36","43","MR13","reaches","yes",13.43333333,13.4,0.453084648,0.546915352,26.843,32.402,"MR","13",0.546915352,5.559,6,"objectdirected",7.43333333,"1"
"37","44","MR13","reaches","yes",12.76666667,12.8,0.407035176,0.592964824,17.901,26.078,"MR","13",0.592964824,8.177,3,"objectdirected",9.76666667,"1"
"38","45","MR13","reaches","yes",12.63333333,12.6,0.589928058,0.410071942,19.516,13.566,"MR","13",0.410071942,-5.95,3.1,"objectdirected",9.53333333,"1"
"39","46","MR13","reaches","yes",12.86666667,12.9,0.189333333,0.810666667,7.242,31.008,"MR","13",0.810666667,23.766,6,"objectdirected",6.86666667,"1"
"40","47","MR13","reaches","yes",12.53333333,12.5,0.484787018,0.515212982,8.126,8.636,"MR","13",0.515212982,0.51,6,"objectdirected",6.53333333,"1"
"41","48","MR10","reaches","yes",10.33333333,10.4,0.416793121,0.583206879,28.016,39.202,"MR","10",0.583206879,11.186,5,"objectdirected",5.33333333,"1"
"42","49","MR13","reaches","yes",12.86666667,12.9,0.178016726,0.821983274,5.066,23.392,"MR","13",0.821983274,18.326,3,"objectdirected",9.86666667,"1"
"43","50","MR10","reaches","yes",10.2,10.8,0.239370079,0.760629921,5.168,16.422,"MR","10",0.760629921,11.254,4,"objectdirected",6.2,"1"
"44","51","MR13","reaches","yes",12.66666667,12.9,0.43060355,0.56939645,25.67,33.944,"MR","13",0.56939645,8.274,5.5,"objectdirected",7.16666667,"1"
"45","52","MR10","reaches","yes",9.533333333,9.5,0.609964413,0.390035587,14.569,9.316,"MR","10",0.390035587,-5.253,3,"objectdirected",6.533333333,"1"
"46","53","MR13","reaches","yes",13.06666667,13.1,0.558149919,0.441850081,60,47.498,"MR","13",0.441850081,-12.502,1,"objectdirected",12.06666667,"1"
