"","subj","experiment.x","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","crawls","cruises","fearheights","handtohand","hiddensearch","pincer","points","pullstand","reaches","rolls","sits","stands","strangerdanger","walks","waves","exp","agegroup","looking.to.unexp","LTdiff"
"1","1","MR10",10.06666667,13.5,0.47197043,0.52802957,53.63,60,8.5,11,11.0344827586207,10,9.25785714285714,8.4372602739726,12.5,8.5,2.5,6.75,7,13,8.89421052631579,12.0907142857143,11,"MR","10",0.52802957,6.37
"2","2","MR13",12.93333333,17.5,0.4658405,0.5341595,52.326,60,6.12,6.15,12,6.25,11,9,8.15,6.5,3.15,3.2,5.25,8.1,8.89421052631579,11.27,8,"MR","13",0.5341595,7.674
"3","3","MR10",10.06666667,13.2,0.814995563,0.185004437,31.229,7.089,10,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,11,10.5,4.27025641025641,4.75,6,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","10",0.185004437,-24.14
"4","4","MR13",12.7,13.8,0.46488482,0.53511518,10.7665,12.393,8,12,11.0344827586207,7,10,8,11,11,5,5,6,13,8.89421052631579,12.0907142857143,11,"MR","13",0.53511518,1.6265
"5","5","MR13",13.5,15.3,0.523095624,0.476904376,21.947,20.009,9,10,7,6,10,7,11,9,5,5,5,10,10,12,13,"MR","13",0.476904376,-1.938
"6","6","MR13",13.1,14.5,0.487272727,0.512727273,22.78,23.97,9,10,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,11,10,4.27025641025641,4.1,7.1,10.6788059701493,11,11.11,10,"MR","13",0.512727273,1.19
"7","7","MR13",12.7,14.5,0.494,0.506,16.796,17.204,10.5,12.5,11.0344827586207,5,9.75,6,10.75,12,4,7,9.25,13,8.89421052631579,14,12,"MR","13",0.506,0.408000000000001
"8","8","MR13",12.96666667,15,0.315642661,0.684357339,18.071,39.18045,11,12,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.5,4.27025641025641,4.47481927710843,6,11,8.89421052631579,13.5,9.61527777777778,"MR","13",0.684357339,21.10945
"9","9","MR13",12.83333333,17.5157303370787,0.485270473,0.514729527,54.327,57.625,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","13",0.514729527,3.298
"10","10","MR13",13.1,14.8,0.441306267,0.558693733,8.5,10.761,9,11,11.0344827586207,6.89676470588235,9.25785714285714,10,11,10,8,5,6,12,8.89421052631579,12,9.61527777777778,"MR","13",0.558693733,2.261
"11","11","MR13",13.4,17.5157303370787,0.582191781,0.417808219,11.56,8.296,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","13",0.417808219,-3.264
"12","12","MR10",10.33333333,17.5157303370787,0.316165951,0.683834049,15.028,32.504,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","10",0.683834049,17.476
"13","13","MR10",10.06666667,14,0.429761905,0.570238095,12.274,16.286,7.5,11,11.0344827586207,8,10,10,10,10.5,6,3.5,6,11,8.89421052631579,12,9,"MR","10",0.570238095,4.012
"14","14","MR13",12.83333333,14,0.5,0.5,60,60,5,11,11,6,8,6,11,10,1,2,6,12,10,13,10,"MR","13",0.5,0
"15","15","MR10",9.8,12.2,0.157411669,0.842588331,5.814,31.121,7,8,11.0344827586207,9,9,7,9.95285714285714,6,4,6,4,9,11,10,10,"MR","10",0.842588331,25.307
"16","16","MR13",12.76666667,17.5157303370787,0.583934584,0.416065416,20.638,14.705,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","13",0.416065416,-5.933
"17","17","MR10",10.26666667,17.5157303370787,0.391520244,0.608479756,17.425,27.081,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","10",0.608479756,9.656
"18","18","MR10",9.666666667,10.7,0.370714286,0.629285714,8.823,14.977,9.4,10.5,11.0344827586207,9,10,9,9,9,4,4.5,6.7,10,8.89421052631579,12.0907142857143,9,"MR","10",0.629285714,6.154
"19","19","MR10",10.3,12.6,0.5,0.5,60,60,7,12,11.0344827586207,7,11.5,10,12,11,4,3.5,6,10.6788059701493,10,12.0907142857143,9.61527777777778,"MR","10",0.5,0
"20","20","MR13",12.83333333,17.5157303370787,0.279751732,0.720248268,6.22,16.014,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","13",0.720248268,9.794
"21","21","MR10",9.466666667,10.6,0.481642994,0.518357006,46.388,49.924,7,9.5,11.0344827586207,6.5,10,8,10,9.5,3.5,4,5,9,9,12.0907142857143,9.61527777777778,"MR","10",0.518357006,3.536
"22","22","MR10",9.466666667,9.5,0.510416667,0.489583333,6.664,6.392,10,10,10,8,9,9,9.95285714285714,10,6,5,7,10,8,12.0907142857143,9.61527777777778,"MR","10",0.489583333,-0.271999999999999
"23","23","MR13",12.73333333,12.7,0.381055489,0.618944511,24.99,40.591,6,8,11.0344827586207,7,9,7,12,7,5,5,6,11,3,12,10,"MR","13",0.618944511,15.601
"24","24","MR13",12.83333333,17.5157303370787,0.135094566,0.864905434,7.65,48.977,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"MR","13",0.864905434,41.327
"25","25","MR13",12.56666667,12.6,0.603160667,0.396839333,11.679,7.684,7,9,10,6,10,9,9,8,4,4,5,8,10,10,10,"MR","13",0.396839333,-3.995
