reliability,sex,subj,agem,experiment,exp,cost,HV_side,first_test,first_fam,first_test_scene,prefam_config,prefam_firstevent,prefam_1,prefam_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,avg.lower,avg.higher,lower1,lower2,higher1,higher2,prop.lower,prop.higher,pref.raw,pre.low,pre.high
,m,S1_1,10.5,LUTS.Exp.1,,Barriers,left,HV,HL,,,,,,60,60,60,60,59.12,9.75,32.8,6.38,14.2,60,51.48,308.87,33.19,23.5,6.38,60,32.8,14.2,0.48573176,0.51426824,LV,,
,f,S1_10,9.9,LUTS.Exp.1,,Barriers,left,LV,LH,,,,,,60,60,50.06,23.11,13.93,14.26,54.04,20.82,11.82,19.46,36.89,221.36,32.93,20.14,54.04,11.82,20.82,19.46,0.54987904,0.45012096,LV,,
,m,S1_11,9.8,LUTS.Exp.1,,Barriers,left,HV,HL,,,,,,60,60,48.73,60,29.89,36.65,52.47,18.15,34.18,30.82,49.21,295.27,24.49,43.33,18.15,30.82,52.47,34.18,0.3655816,0.6344184,HV,,
,m,S1_12,9.9,LUTS.Exp.1,,Barriers,right,LV,LH,,,,,,60,60,60,37.15,13.48,51.68,33.26,45.95,5.65,14.07,47.05,282.31,19.46,30.01,33.26,5.65,45.95,14.07,0.35320382,0.64679618,HV,,
,f,S1_13,10.167,LUTS.Exp.1,,Barriers,right,HV,LH,,,,,,60,60,60,40.67,28.57,10.77,7.22,6.86,6.5,NA,43.34,260.01,6.86,6.86,6.86,NA,7.22,6.5,0.48721591,0.51278409,HV,,
,f,S1_14,9.967,LUTS.Exp.1,,Barriers,right,LV,HL,,,,,,60,11.14,56.06,60,32.97,28.77,17.37,9.95,12.22,6.71,41.49,248.94,14.8,8.33,17.37,12.22,9.95,6.71,0.64066707,0.35933293,LV,,
,f,S1_15,9.867,LUTS.Exp.1,,Barriers,left,HV,LH,,,,,,50.16,60,14.5,60,26.02,15.39,30.25,27.23,9.85,NA,37.68,226.07,27.23,20.05,27.23,NA,30.25,9.85,0.47372999,0.52627001,LV,,
,f,S1_16,9.633,LUTS.Exp.1,,Barriers,right,HV,HL,,,,,,60,60,60,60,60,38.72,60,41.59,16.9,48.4,56.45,338.72,45,38.45,41.59,48.4,60,16.9,0.57529259,0.42470741,LV,,
,f,S1_17,9.733,LUTS.Exp.1,,Barriers,right,HV,LH,,,,,,60,60,60,4.78,60,10.76,12.44,13.5,60,10.31,42.59,255.54,11.91,36.22,13.5,10.31,12.44,60,0.33353405,0.66646596,HV,,
,f,S1_18,9.433,LUTS.Exp.1,,Barriers,left,HV,HL,,,,,,60,60,37.77,60,54.53,12.2,20.6,54.48,9.27,8.19,47.42,284.5,31.34,14.94,54.48,8.19,20.6,9.27,0.59734908,0.40265092,LV,,
,m,S1_19,10.267,LUTS.Exp.1,,Barriers,right,LV,LH,,,,,,60,60,48.29,5.38,12.77,19.32,11.17,11.4,11.8,10.24,34.29,205.76,11.49,10.82,11.17,11.8,11.4,10.24,0.51514747,0.48485253,LV,,
,f,S1_2,9.6,LUTS.Exp.1,,Barriers,left,LV,HL,,,,,,60,60,37.83,25.99,56.68,38.89,17.48,60,26.73,7.2,46.57,279.39,22.11,33.6,17.48,26.73,60,7.2,0.50670251,0.49329749,HV,,
,m,S1_20,10.533,LUTS.Exp.1,,Barriers,right,LV,HL,,,,,,60,60,46.36,18.56,10.22,13.45,46.77,18.05,57.4,13.34,34.77,208.59,52.09,15.7,46.77,57.4,18.05,13.34,0.76647934,0.23352066,LV,,
,f,S1_21,10.067,LUTS.Exp.1,,Barriers,left,LV,HL,,,,,,60,16.2,25.8,60,6.78,16.06,36.1,8.3,8.53,8.41,30.81,184.84,22.32,8.36,36.1,8.53,8.3,8.41,0.65830249,0.34169751,LV,,
,f,S1_22,10.433,LUTS.Exp.1,,Barriers,right,HV,HL,,,,,,60,60,60,29.98,19.33,46.7,22.1,8.45,8.92,30.49,46,276.01,19.47,15.51,8.45,30.49,22.1,8.92,0.52512863,0.47487137,LV,,
,m,S1_23,9.967,LUTS.Exp.1,,Barriers,left,HV,LH,,,,,,60,29.65,17.41,25.62,19.66,25.89,8.67,22.46,21.8,21.91,29.71,178.23,22.19,15.24,22.46,21.91,8.67,21.8,0.61137441,0.38862559,LV,,
,f,S1_24,9.667,LUTS.Exp.1,,Barriers,left,LV,LH,,,,,,60,60,60,7.87,60,9.06,59.25,48.48,30.86,29.82,42.82,256.93,45.06,39.15,59.25,30.86,48.48,29.82,0.52927781,0.47072219,LV,,
,f,S1_3,9.7,LUTS.Exp.1,,Barriers,right,HV,HL,,,,,,60,60,60,60,18.18,10.7,60,60,18.46,52.83,44.81,268.88,56.42,39.23,60,52.83,60,18.46,0.62052883,0.37947117,LV,,
,m,S1_4,9.867,LUTS.Exp.1,,Barriers,left,HV,LH,,,,,,60,31.28,4.94,4.97,3.77,4.17,15.26,21.75,13.12,24.77,18.19,109.13,23.26,14.19,21.75,24.77,15.26,13.12,0.62070675,0.37929325,LV,,
,m,S1_5,10.1,LUTS.Exp.1,,Barriers,right,LV,HL,,,,,,60,60,60,60,60,60,42.11,45.75,9.08,8.59,60,360,25.6,27.17,42.11,9.08,45.75,8.59,0.49657527,0.50342473,HV,,
,f,S1_6,9.733,LUTS.Exp.1,,Barriers,left,LV,LH,,,,,,60,60,60,54.82,41.28,19.1,23.59,6.99,6.06,7.47,49.2,295.2,14.83,7.23,23.59,6.06,6.99,7.47,0.6096564,0.3903436,LV,,
,m,S1_7,9.9,LUTS.Exp.1,,Barriers,right,LV,LH,,,,,,60,60,60,12.31,28.68,6.3,60,47.76,32.3,8.25,37.88,227.29,46.15,28.01,60,32.3,47.76,8.25,0.67667017,0.32332983,LV,,
,f,S1_8,9.8,LUTS.Exp.1,,Barriers,right,HV,LH,,,,,,60,60,55.23,60,60,60,3.31,12.66,1.71,17.33,59.21,355.23,15,2.51,12.66,17.33,3.31,1.71,0.85146273,0.14853727,LV,,
,f,S1_9,10.267,LUTS.Exp.1,,Barriers,left,LV,HL,,,,,,60,60,60,60,60,60,58.83,17.33,58.3,10.47,60,360,58.57,13.9,58.83,58.3,17.33,10.47,0.81010306,0.18989694,LV,,
,m,S2_1,9.8,LUTS.Exp.2,,Ramps,right,HV,LH,,,,,,60,60,35.95,60,60,60,60,21.71,42.63,29.38,55.99,335.95,25.55,51.32,21.71,29.38,60,42.63,0.33684732,0.66315268,HV,,
,f,S2_10,10,LUTS.Exp.2,,Ramps,left,HV,HL,,,,,,60,32.04,44.79,9.57,16.39,8.64,23.13,18.09,41.01,60,28.57,171.43,39.05,32.07,18.09,60,23.13,41.01,0.51643261,0.48356739,LV,,
