"","Depth","Width","subj","dv","response"
"1",1,1,"17","Force",27
"2",1,1,"6","Force",28
"3",1,1,"14","Force",0
"4",1,1,"3","Force",92
"5",1,1,"5","Force",0
"6",1,1,"11","Force",0
"7",1,1,"1","Force",6
"8",1,1,"8","Force",0
"9",1,1,"4","Force",28
"10",1,1,"19","Force",6
"11",1,2,"17","Force",74
"12",1,2,"9","Force",74
"13",1,2,"12","Force",16
"14",1,2,"10","Force",51
"15",1,2,"3","Force",100
"16",1,2,"1","Force",75
"17",1,2,"8","Force",7
"18",1,2,"16","Force",85
"19",1,2,"19","Force",75
"20",1,2,"19","Force",65
"21",1,3,"17","Force",86
"22",1,3,"9","Force",33
"23",1,3,"13","Force",77
"24",1,3,"10","Force",62
"25",1,3,"15","Force",60
"26",1,3,"16","Force",100
"27",1,4,"7","Force",63
"28",1,4,"13","Force",89
"29",1,4,"6","Force",79
"30",1,4,"14","Force",97
"31",1,4,"15","Force",76
"32",1,4,"18","Force",72
"33",1,4,"2","Force",30
"34",1,4,"1","Force",97
"35",1,4,"16","Force",100
"36",1,4,"4","Force",80
"37",2,1,"7","Force",3
"38",2,1,"9","Force",26
"39",2,1,"12","Force",29
"40",2,1,"13","Force",0
"41",2,1,"6","Force",38
"42",2,1,"14","Force",5
"43",2,1,"10","Force",17
"44",2,1,"3","Force",100
"45",2,1,"5","Force",0
"46",2,1,"2","Force",56
"47",2,1,"1","Force",5
"48",2,1,"16","Force",92
"49",2,1,"19","Force",25
"50",2,2,"7","Force",56
"51",2,2,"17","Force",65
"52",2,2,"9","Force",35
"53",2,2,"12","Force",56
"54",2,2,"13","Force",65
"55",2,2,"14","Force",61
"56",2,2,"10","Force",51
"57",2,2,"3","Force",89
"58",2,2,"15","Force",43
"59",2,2,"18","Force",19
"60",2,2,"2","Force",24
"61",2,2,"11","Force",27
"62",2,2,"1","Force",80
"63",2,2,"4","Force",79
"64",2,3,"9","Force",79
"65",2,3,"12","Force",74
"66",2,3,"18","Force",35
"67",2,3,"5","Force",78
"68",2,3,"2","Force",84
"69",2,3,"4","Force",85
"70",2,3,"19","Force",42
"71",2,4,"7","Force",70
"72",2,4,"9","Force",77
"73",2,4,"14","Force",100
"74",2,4,"10","Force",78
"75",2,4,"15","Force",100
"76",2,4,"5","Force",93
"77",2,4,"2","Force",34
"78",2,4,"11","Force",80
